id,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_1y_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_30d_in_currency
bitcoin,29197.0,567954616232,1,612945769744,11819511731,29414.0,29119.0,-216.74340400407164,20.887431421720066,-0.736875306375519,-3.401386130315838
cardano,0.281649,9862024376,9,12663456503,180250536,0.290558,0.279226,-0.008909152424592505,-49.31118793309391,-3.0662250475559993,-10.385295920981973
chainlink,7.0,3771897271,22,7009658935,298938559,7.42,6.98,-0.41536375607146336,-19.29114038263913,-5.598884326922087,5.748715122412474
dogecoin,0.07109,9990329857,8,9990314226,527639279,0.074898,0.070727,-0.003673320363848667,-10.12904463755867,-4.913233121987578,1.9672293895308886
ethereum,1827.18,219495626810,2,219495626810,4494566524,1845.72,1818.53,-18.381269762743386,-3.6882860196501803,-0.9959738335040393,-4.94169433012488
litecoin,79.28,5828264177,15,6656713851,600203141,82.1,78.84,-2.820566633731744,30.397012213674245,-3.4354764871832097,-14.231985663527505
polkadot,4.81,6079168173,12,6468158555,109037616,4.99,4.75,-0.1819649455289163,-45.50499492930157,-3.645344671935785,-9.398846077104533
ripple,0.608388,32076031494,5,60764693288,1193827354,0.631126,0.596803,-0.02253560923009101,61.70542616711076,-3.571843123334442,-18.67189018148158
solana,23.89,9692981564,10,13239685166,468489585,25.17,23.76,-1.287803710299002,-45.39930810506193,-5.115522042281636,-14.221044647462094
uniswap,5.89,4436863167,19,5886255470,111941549,6.29,5.89,-0.39716082933351515,-30.45821017049813,-6.318316650729559,2.843548075607443
